data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,sort
0.056864,-0.36954,-0.04115,0.00052285,-0.0011337,-7.56E-05,-0.06011,-0.20415,0.15816,-0.013323,-0.019892,-0.0017281,6
0.056869,-0.37383,-0.04032,0.00050164,-0.001018,-7.71E-05,-0.060121,-0.20236,0.15986,-0.013822,-0.020146,-0.0017867,6
0.056866,-0.36954,-0.032394,0.00051856,-0.0011209,-7.68E-05,-0.060119,-0.20414,0.1513,-0.01402,-0.02017,-0.0017703,6
0.056865,-0.36874,-0.033401,0.00049846,-0.00097455,-7.73E-05,-0.060112,-0.2001,0.15208,-0.013845,-0.020171,-0.0017981,6
0.056866,-0.36735,-0.035697,0.00052197,-0.0011176,-7.68E-05,-0.06012,-0.2045,0.15741,-0.014044,-0.020164,-0.0017672,6
0.056865,-0.37414,-0.036473,0.00051896,-0.0011246,-7.60E-05,-0.060111,-0.20372,0.15474,-0.013571,-0.019979,-0.0017401,6
0.056867,-0.36953,-0.041336,0.0005106,-0.0011495,-7.72E-05,-0.060118,-0.20412,0.15885,-0.014392,-0.020285,-0.0017785,6
0.056863,-0.37333,-0.042812,0.00051954,-0.0011106,-7.70E-05,-0.060106,-0.20327,0.16189,-0.014095,-0.020199,-0.0017755,6
0.056865,-0.36954,-0.043835,0.00051944,-0.0011139,-7.66E-05,-0.060112,-0.20414,0.15969,-0.0139,-0.020122,-0.0017647,6
0.056866,-0.36954,-0.030848,0.00051776,-0.001123,-7.70E-05,-0.060114,-0.20414,0.15738,-0.01416,-0.020223,-0.0017774,6
0.056864,-0.37095,-0.041737,0.00052104,-0.0011029,-7.66E-05,-0.06011,-0.20439,0.15774,-0.013885,-0.020114,-0.0017639,6
0.070268,-0.37367,-0.030835,0.00050501,-0.0010462,-7.68E-05,-0.058614,-0.20349,0.15272,-0.013799,-0.020112,-0.0017741,6
0.04529,-0.37141,-0.037642,0.00051133,-0.001089,-7.78E-05,-0.039271,-0.20321,0.15985,-0.014551,-0.020373,-0.0018008,6
0.056862,-0.37172,-0.036102,0.00051779,-0.0011253,-7.68E-05,-0.060104,-0.20501,0.16169,-0.014051,-0.020173,-0.0017683,6
0.031886,-0.37265,-0.039457,0.00051088,-0.001101,-7.74E-05,-0.040764,-0.20264,0.15961,-0.014436,-0.020311,-0.0017876,6
0.056863,-0.36747,-0.027739,0.00051129,-0.0010521,-7.75E-05,-0.060105,-0.20133,0.15101,-0.014195,-0.02027,-0.0017964,6
0.056864,-0.36953,-0.037781,0.00051037,-0.001089,-7.59E-05,-0.060111,-0.20412,0.15889,-0.013354,-0.019935,-0.0017443,6
0.056869,-0.37071,-0.02991,0.00050098,-0.0010334,-7.70E-05,-0.060122,-0.20531,0.15418,-0.013808,-0.020136,-0.0017829,6
0.056866,-0.3732,-0.033346,0.00051612,-0.0011289,-7.67E-05,-0.060118,-0.20615,0.15708,-0.014032,-0.020162,-0.0017657,6
0.056865,-0.36675,-0.040788,0.00051545,-0.0010688,-7.76E-05,-0.06011,-0.19966,0.15905,-0.014398,-0.020323,-0.0017981,6
0.056863,-0.37152,-0.037202,0.00051251,-0.0010761,-7.74E-05,-0.060107,-0.20332,0.15976,-0.014306,-0.020284,-0.0017917,6
0.056863,-0.37118,-0.038335,0.00052072,-0.0010742,-7.67E-05,-0.060108,-0.20376,0.16077,-0.01378,-0.020099,-0.0017688,6
0.056866,-0.37266,-0.036144,0.00052146,-0.0011445,-7.60E-05,-0.060117,-0.20578,0.15723,-0.013645,-0.020001,-0.0017398,6
0.056867,-0.36989,-0.039221,0.00051306,-0.001101,-7.74E-05,-0.060115,-0.20426,0.15898,-0.01438,-0.020299,-0.0017881,6
